station_id,station_name,latitude,longitude,date,PRCP,SNOW,SNWD,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-13,0.08,1.8,4.0,32.0,5.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-14,0.0,0.0,4.0,14.0,-1.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-15,0.0,0.0,3.0,33.0,7.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-16,0.0,0.0,1.0,44.0,18.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-17,0.22,0.0,0.0,40.0,29.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-18,0.0,0.0,0.0,39.0,26.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-19,0.0,0.0,0.0,31.0,17.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-20,0.0,0.0,0.0,25.0,11.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-21,0.0,0.0,0.0,37.0,12.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-22,0.0,0.0,0.0,50.0,26.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-23,0.0,0.0,0.0,56.0,33.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-24,0.0,0.0,0.0,43.0,38.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-25,0.14,1.5,1.0,39.0,32.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-26,0.07,1.2,3.0,32.0,26.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-27,0.0,0.0,2.0,31.0,22.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-28,0.0,0.0,1.0,30.0,18.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-02-29,0.0,0.0,0.0,35.0,16.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-01,0.0,0.0,0.0,58.0,30.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-02,0.0,0.0,0.0,50.0,35.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-03,0.0,0.0,0.0,50.0,32.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-04,0.0,0.0,0.0,49.0,35.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-05,0.0,0.0,0.0,52.0,33.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-06,0.0,0.0,0.0,39.0,28.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-07,0.0,0.0,0.0,52.0,23.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-08,0.0,0.0,0.0,66.0,40.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-09,1.0,0.0,0.0,59.0,47.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-10,0.0,0.0,0.0,52.0,34.0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",-87.77734,41.73727,2020-03-11,0.0,0.0,0.0,44.0,36.0
